[000000] Main INICIO

[000000] criando 133 tarefas...
Progresso 1234000/5236609 [Task 60]
Progresso 1235000/5236609 [Task 129]
Progresso 1236000/5236609 [Task 65]
Progresso 1237000/5236609 [Task 134]
Progresso 1238000/5236609 [Task 70]
Progresso 1239000/5236609 [Task 6]
Progresso 1240000/5236609 [Task 75]
Progresso 1241000/5236609 [Task 11]
Progresso 1242000/5236609 [Task 80]
Progresso 1243000/5236609 [Task 16]
Progresso 1244000/5236609 [Task 85]
Progresso 1245000/5236609 [Task 21]
Progresso 1246000/5236609 [Task 90]
Progresso 1247000/5236609 [Task 26]
Progresso 1248000/5236609 [Task 95]
Progresso 1249000/5236609 [Task 31]
Progresso 1250000/5236609 [Task 100]
Progresso 1251000/5236609 [Task 36]
Progresso 1252000/5236609 [Task 105]
Progresso 1253000/5236609 [Task 41]
Progresso 1254000/5236609 [Task 110]
Progresso 1255000/5236609 [Task 46]
Progresso 1256000/5236609 [Task 115]
Progresso 1257000/5236609 [Task 51]
Progresso 1258000/5236609 [Task 120]
Progresso 1259000/5236609 [Task 56]
Progresso 1260000/5236609 [Task 125]
Progresso 1261000/5236609 [Task 61]
Progresso 1262000/5236609 [Task 130]
Progresso 1263000/5236609 [Task 66]
Progresso 1264000/5236609 [Task 2]
Progresso 1265000/5236609 [Task 71]
Progresso 1266000/5236609 [Task 7]
Progresso 1267000/5236609 [Task 76]
Progresso 1268000/5236609 [Task 12]
Progresso 1269000/5236609 [Task 81]
Progresso 1270000/5236609 [Task 17]
Progresso 1271000/5236609 [Task 86]
Progresso 1272000/5236609 [Task 22]
Progresso 1273000/5236609 [Task 91]
Progresso 1274000/5236609 [Task 27]
Progresso 1275000/5236609 [Task 96]
Progresso 1276000/5236609 [Task 32]
Progresso 1277000/5236609 [Task 101]
Progresso 1278000/5236609 [Task 37]
Progresso 1279000/5236609 [Task 106]
Progresso 1280000/5236609 [Task 42]
Progresso 1281000/5236609 [Task 111]
Progresso 1282000/5236609 [Task 47]
Progresso 1283000/5236609 [Task 116]
Progresso 1284000/5236609 [Task 52]
Progresso 1285000/5236609 [Task 121]
Progresso 1286000/5236609 [Task 57]
Progresso 1287000/5236609 [Task 126]
Progresso 1288000/5236609 [Task 62]
Progresso 1289000/5236609 [Task 131]
Progresso 1290000/5236609 [Task 67]
Progresso 1291000/5236609 [Task 3]
Progresso 1292000/5236609 [Task 72]
Progresso 1293000/5236609 [Task 8]
Progresso 1294000/5236609 [Task 77]
Progresso 1295000/5236609 [Task 13]
Progresso 1296000/5236609 [Task 82]
Progresso 1297000/5236609 [Task 18]
Progresso 1298000/5236609 [Task 87]
Progresso 1299000/5236609 [Task 23]
Progresso 1300000/5236609 [Task 92]
Progresso 1301000/5236609 [Task 28]
Progresso 1302000/5236609 [Task 97]
Progresso 1303000/5236609 [Task 33]
Progresso 1304000/5236609 [Task 102]
Progresso 1305000/5236609 [Task 38]
Progresso 1306000/5236609 [Task 107]
Progresso 1307000/5236609 [Task 43]
Progresso 1308000/5236609 [Task 112]
Progresso 1309000/5236609 [Task 48]
Progresso 1310000/5236609 [Task 117]
Progresso 1311000/5236609 [Task 53]
Progresso 1312000/5236609 [Task 122]
Progresso 1313000/5236609 [Task 58]
Progresso 1314000/5236609 [Task 127]
Progresso 1315000/5236609 [Task 63]
Progresso 1316000/5236609 [Task 132]
Progresso 1317000/5236609 [Task 68]
Progresso 1318000/5236609 [Task 4]
Progresso 1319000/5236609 [Task 73]
Progresso 1320000/5236609 [Task 9]
Progresso 1321000/5236609 [Task 78]
Progresso 1322000/5236609 [Task 14]
Progresso 1323000/5236609 [Task 83]
Progresso 1324000/5236609 [Task 19]
Progresso 1325000/5236609 [Task 88]
Progresso 1326000/5236609 [Task 24]
Progresso 1327000/5236609 [Task 93]
Progresso 1328000/5236609 [Task 29]
Progresso 1329000/5236609 [Task 98]
Progresso 1330000/5236609 [Task 34]
Progresso 1331000/5236609 [Task 103]
Progresso 1332000/5236609 [Task 39]
Progresso 1333000/5236609 [Task 108]
Progresso 1334000/5236609 [Task 44]
Progresso 1335000/5236609 [Task 113]
Progresso 1336000/5236609 [Task 49]
Progresso 1337000/5236609 [Task 118]
Progresso 1338000/5236609 [Task 54]
Progresso 1339000/5236609 [Task 123]
Progresso 1340000/5236609 [Task 59]
Progresso 1341000/5236609 [Task 128]
Progresso 1342000/5236609 [Task 64]
Progresso 1343000/5236609 [Task 133]
Progresso 1344000/5236609 [Task 69]
Progresso 1345000/5236609 [Task 5]
Progresso 1346000/5236609 [Task 74]
Progresso 1347000/5236609 [Task 10]
Progresso 1348000/5236609 [Task 79]
Progresso 1349000/5236609 [Task 15]
Progresso 1350000/5236609 [Task 84]
Progresso 1351000/5236609 [Task 20]
Progresso 1352000/5236609 [Task 89]
Progresso 1353000/5236609 [Task 25]
Progresso 1354000/5236609 [Task 94]
Progresso 1355000/5236609 [Task 30]
Progresso 1356000/5236609 [Task 99]
Progresso 1357000/5236609 [Task 35]
Progresso 1358000/5236609 [Task 104]
Progresso 1359000/5236609 [Task 40]
Progresso 1360000/5236609 [Task 109]
Progresso 1361000/5236609 [Task 45]
Progresso 1362000/5236609 [Task 114]
Progresso 1363000/5236609 [Task 50]
Progresso 1364000/5236609 [Task 119]
Progresso 1365000/5236609 [Task 55]
Progresso 1366000/5236609 [Task 124]
Progresso 1367000/5236609 [Task 60]
Progresso 1368000/5236609 [Task 129]
Progresso 1369000/5236609 [Task 65]
Progresso 1370000/5236609 [Task 134]
Progresso 1371000/5236609 [Task 70]
Progresso 1372000/5236609 [Task 6]
Progresso 1373000/5236609 [Task 75]
Progresso 1374000/5236609 [Task 11]
Progresso 1375000/5236609 [Task 80]
Progresso 1376000/5236609 [Task 16]
Progresso 1377000/5236609 [Task 85]
Progresso 1378000/5236609 [Task 21]
Progresso 1379000/5236609 [Task 90]
Progresso 1380000/5236609 [Task 26]
Progresso 1381000/5236609 [Task 95]
Progresso 1382000/5236609 [Task 31]
Progresso 1383000/5236609 [Task 100]
Progresso 1384000/5236609 [Task 36]
Progresso 1385000/5236609 [Task 105]
Progresso 1386000/5236609 [Task 41]
Progresso 1387000/5236609 [Task 110]
Progresso 1388000/5236609 [Task 46]
Progresso 1389000/5236609 [Task 115]
Progresso 1390000/5236609 [Task 51]
Progresso 1391000/5236609 [Task 120]
Progresso 1392000/5236609 [Task 56]
Progresso 1393000/5236609 [Task 125]
Progresso 1394000/5236609 [Task 61]
Progresso 1395000/5236609 [Task 130]
Progresso 1396000/5236609 [Task 66]
Progresso 1397000/5236609 [Task 2]
Progresso 1398000/5236609 [Task 71]
Progresso 1399000/5236609 [Task 7]
Progresso 1400000/5236609 [Task 76]
Progresso 1401000/5236609 [Task 12]
Progresso 1402000/5236609 [Task 81]
Progresso 1403000/5236609 [Task 17]
Progresso 1404000/5236609 [Task 86]
Progresso 1405000/5236609 [Task 22]
Progresso 1406000/5236609 [Task 91]
Progresso 1407000/5236609 [Task 27]
Progresso 1408000/5236609 [Task 96]
Progresso 1409000/5236609 [Task 32]
Progresso 1410000/5236609 [Task 101]
Progresso 1411000/5236609 [Task 37]
Progresso 1412000/5236609 [Task 106]
Progresso 1413000/5236609 [Task 42]
Progresso 1414000/5236609 [Task 111]
Progresso 1415000/5236609 [Task 47]
Progresso 1416000/5236609 [Task 116]
Progresso 1417000/5236609 [Task 52]
Progresso 1418000/5236609 [Task 121]
Progresso 1419000/5236609 [Task 57]
Progresso 1420000/5236609 [Task 126]
Progresso 1421000/5236609 [Task 62]
Progresso 1422000/5236609 [Task 131]
Progresso 1423000/5236609 [Task 67]
Progresso 1424000/5236609 [Task 3]
Progresso 1425000/5236609 [Task 72]
Progresso 1426000/5236609 [Task 8]
Progresso 1427000/5236609 [Task 77]
Progresso 1428000/5236609 [Task 13]
Progresso 1429000/5236609 [Task 82]
Progresso 1430000/5236609 [Task 18]
Progresso 1431000/5236609 [Task 87]
Progresso 1432000/5236609 [Task 23]
Progresso 1433000/5236609 [Task 92]
Progresso 1434000/5236609 [Task 28]
Progresso 1435000/5236609 [Task 97]
Progresso 1436000/5236609 [Task 33]
Progresso 1437000/5236609 [Task 102]
Progresso 1438000/5236609 [Task 38]
Progresso 1439000/5236609 [Task 107]
Progresso 1440000/5236609 [Task 43]
Progresso 1441000/5236609 [Task 112]
Progresso 1442000/5236609 [Task 48]
Progresso 1443000/5236609 [Task 117]
Progresso 1444000/5236609 [Task 53]
Progresso 1445000/5236609 [Task 122]
Progresso 1446000/5236609 [Task 58]
Progresso 1447000/5236609 [Task 127]
Progresso 1448000/5236609 [Task 63]
Progresso 1449000/5236609 [Task 132]
Progresso 1450000/5236609 [Task 68]
Progresso 1451000/5236609 [Task 4]
Progresso 1452000/5236609 [Task 73]
Progresso 1453000/5236609 [Task 9]
Progresso 1454000/5236609 [Task 78]
Progresso 1455000/5236609 [Task 14]
Progresso 1456000/5236609 [Task 83]
Progresso 1457000/5236609 [Task 19]
Progresso 1458000/5236609 [Task 88]
Progresso 1459000/5236609 [Task 24]
Progresso 1460000/5236609 [Task 93]
Progresso 1461000/5236609 [Task 29]
Progresso 1462000/5236609 [Task 98]
Progresso 1463000/5236609 [Task 34]
Progresso 1464000/5236609 [Task 103]
Progresso 1465000/5236609 [Task 39]
Progresso 1466000/5236609 [Task 108]
Progresso 1467000/5236609 [Task 44]
Progresso 1468000/5236609 [Task 113]
Progresso 1469000/5236609 [Task 49]
Progresso 1470000/5236609 [Task 118]
Progresso 1471000/5236609 [Task 54]
Progresso 1472000/5236609 [Task 123]
Progresso 1473000/5236609 [Task 59]
Progresso 1474000/5236609 [Task 128]
Progresso 1475000/5236609 [Task 64]
Progresso 1476000/5236609 [Task 133]
Progresso 1477000/5236609 [Task 69]
Progresso 1478000/5236609 [Task 5]
Progresso 1479000/5236609 [Task 74]
Progresso 1480000/5236609 [Task 10]
Progresso 1481000/5236609 [Task 79]
Progresso 1482000/5236609 [Task 15]
Progresso 1483000/5236609 [Task 84]
Progresso 1484000/5236609 [Task 20]
Progresso 1485000/5236609 [Task 89]
Progresso 1486000/5236609 [Task 25]
Progresso 1487000/5236609 [Task 94]
Progresso 1488000/5236609 [Task 30]
Progresso 1489000/5236609 [Task 99]
Progresso 1490000/5236609 [Task 35]
Progresso 1491000/5236609 [Task 104]
Progresso 1492000/5236609 [Task 40]
Progresso 1493000/5236609 [Task 109]
Progresso 1494000/5236609 [Task 45]
Progresso 1495000/5236609 [Task 114]
Progresso 1496000/5236609 [Task 50]
Progresso 1497000/5236609 [Task 119]
Progresso 1498000/5236609 [Task 55]
Progresso 1499000/5236609 [Task 124]
Progresso 1500000/5236609 [Task 60]
Progresso 1501000/5236609 [Task 129]
Progresso 1502000/5236609 [Task 65]
Progresso 1503000/5236609 [Task 134]
Progresso 1504000/5236609 [Task 70]
Progresso 1505000/5236609 [Task 6]
Progresso 1506000/5236609 [Task 75]
Progresso 1507000/5236609 [Task 11]
Progresso 1508000/5236609 [Task 80]
Progresso 1509000/5236609 [Task 16]
Progresso 1510000/5236609 [Task 85]
Progresso 1511000/5236609 [Task 21]
Progresso 1512000/5236609 [Task 90]
Progresso 1513000/5236609 [Task 26]
Progresso 1514000/5236609 [Task 95]
Progresso 1515000/5236609 [Task 31]
Progresso 1516000/5236609 [Task 100]
Progresso 1517000/5236609 [Task 36]
Progresso 1518000/5236609 [Task 105]
Progresso 1519000/5236609 [Task 41]
Progresso 1520000/5236609 [Task 110]
Progresso 1521000/5236609 [Task 46]
Progresso 1522000/5236609 [Task 115]
Progresso 1523000/5236609 [Task 51]
Progresso 1524000/5236609 [Task 120]
Progresso 1525000/5236609 [Task 56]
Progresso 1526000/5236609 [Task 125]
Progresso 1527000/5236609 [Task 61]
Progresso 1528000/5236609 [Task 130]
Progresso 1529000/5236609 [Task 66]
Progresso 1530000/5236609 [Task 2]
Progresso 1531000/5236609 [Task 71]
Progresso 1532000/5236609 [Task 7]
Progresso 1533000/5236609 [Task 76]
Progresso 1534000/5236609 [Task 12]
Progresso 1535000/5236609 [Task 81]
Progresso 1536000/5236609 [Task 17]
Progresso 1537000/5236609 [Task 86]
Progresso 1538000/5236609 [Task 22]
Progresso 1539000/5236609 [Task 91]
Progresso 1540000/5236609 [Task 27]
Progresso 1541000/5236609 [Task 96]
Progresso 1542000/5236609 [Task 32]
Progresso 1543000/5236609 [Task 101]
Progresso 1544000/5236609 [Task 37]
Progresso 1545000/5236609 [Task 106]
Progresso 1546000/5236609 [Task 42]
Progresso 1547000/5236609 [Task 111]
Progresso 1548000/5236609 [Task 47]
Progresso 1549000/5236609 [Task 116]
Progresso 1550000/5236609 [Task 52]
Progresso 1551000/5236609 [Task 121]
Progresso 1552000/5236609 [Task 57]
Progresso 1553000/5236609 [Task 126]
Progresso 1554000/5236609 [Task 62]
Progresso 1555000/5236609 [Task 131]
Progresso 1556000/5236609 [Task 67]
Progresso 1557000/5236609 [Task 3]
Progresso 1558000/5236609 [Task 72]
Progresso 1559000/5236609 [Task 8]
Progresso 1560000/5236609 [Task 77]
Progresso 1561000/5236609 [Task 13]
Progresso 1562000/5236609 [Task 82]
Progresso 1563000/5236609 [Task 18]
Progresso 1564000/5236609 [Task 87]
Progresso 1565000/5236609 [Task 23]
Progresso 1566000/5236609 [Task 92]
Progresso 1567000/5236609 [Task 28]
Progresso 1568000/5236609 [Task 97]
Progresso 1569000/5236609 [Task 33]
Progresso 1570000/5236609 [Task 102]
Progresso 1571000/5236609 [Task 38]
Progresso 1572000/5236609 [Task 107]
Progresso 1573000/5236609 [Task 43]
Progresso 1574000/5236609 [Task 112]
Progresso 1575000/5236609 [Task 48]
Progresso 1576000/5236609 [Task 117]
Progresso 1577000/5236609 [Task 53]
Progresso 1578000/5236609 [Task 122]
Progresso 1579000/5236609 [Task 58]
Progresso 1580000/5236609 [Task 127]
Progresso 1581000/5236609 [Task 63]
Progresso 1582000/5236609 [Task 132]
Progresso 1583000/5236609 [Task 68]
Progresso 1584000/5236609 [Task 4]
Progresso 1585000/5236609 [Task 73]
Progresso 1586000/5236609 [Task 9]
Progresso 1587000/5236609 [Task 78]
Progresso 1588000/5236609 [Task 14]
Progresso 1589000/5236609 [Task 83]
Progresso 1590000/5236609 [Task 19]
Progresso 1591000/5236609 [Task 88]
Progresso 1592000/5236609 [Task 24]
Progresso 1593000/5236609 [Task 93]
Progresso 1594000/5236609 [Task 29]
Progresso 1595000/5236609 [Task 98]
Progresso 1596000/5236609 [Task 34]
Progresso 1597000/5236609 [Task 103]
Progresso 1598000/5236609 [Task 39]
Progresso 1599000/5236609 [Task 108]
Progresso 1600000/5236609 [Task 44]
Progresso 1601000/5236609 [Task 113]
Progresso 1602000/5236609 [Task 49]
Progresso 1603000/5236609 [Task 118]
Progresso 1604000/5236609 [Task 54]
Progresso 1605000/5236609 [Task 123]
Progresso 1606000/5236609 [Task 59]
Progresso 1607000/5236609 [Task 128]
Progresso 1608000/5236609 [Task 64]
Progresso 1609000/5236609 [Task 133]
Progresso 1610000/5236609 [Task 69]
Progresso 1611000/5236609 [Task 5]
Progresso 1612000/5236609 [Task 74]
Progresso 1613000/5236609 [Task 10]
Progresso 1614000/5236609 [Task 79]
Progresso 1615000/5236609 [Task 15]
Progresso 1616000/5236609 [Task 84]
Progresso 1617000/5236609 [Task 20]
Progresso 1618000/5236609 [Task 89]
Progresso 1619000/5236609 [Task 25]
Progresso 1620000/5236609 [Task 94]
Progresso 1621000/5236609 [Task 30]
Progresso 1622000/5236609 [Task 99]
Progresso 1623000/5236609 [Task 35]
Progresso 1624000/5236609 [Task 104]
Progresso 1625000/5236609 [Task 40]
Progresso 1626000/5236609 [Task 109]
Progresso 1627000/5236609 [Task 45]
Progresso 1628000/5236609 [Task 114]
Progresso 1629000/5236609 [Task 50]
Progresso 1630000/5236609 [Task 119]
Progresso 1631000/5236609 [Task 55]
Progresso 1632000/5236609 [Task 124]
Progresso 1633000/5236609 [Task 60]
Progresso 1634000/5236609 [Task 129]
Progresso 1635000/5236609 [Task 65]
Progresso 1636000/5236609 [Task 134]
Progresso 1637000/5236609 [Task 70]
Progresso 1638000/5236609 [Task 6]
Progresso 1639000/5236609 [Task 75]
Progresso 1640000/5236609 [Task 11]
Progresso 1641000/5236609 [Task 80]
Progresso 1642000/5236609 [Task 16]
Progresso 1643000/5236609 [Task 85]
Progresso 1644000/5236609 [Task 21]
Progresso 1645000/5236609 [Task 90]
Progresso 1646000/5236609 [Task 26]
Progresso 1647000/5236609 [Task 95]
Progresso 1648000/5236609 [Task 31]
Progresso 1649000/5236609 [Task 100]
Progresso 1650000/5236609 [Task 36]
Progresso 1651000/5236609 [Task 105]
Progresso 1652000/5236609 [Task 41]
Progresso 1653000/5236609 [Task 110]
Progresso 1654000/5236609 [Task 46]
Progresso 1655000/5236609 [Task 115]
Progresso 1656000/5236609 [Task 51]
Progresso 1657000/5236609 [Task 120]
Progresso 1658000/5236609 [Task 56]
Progresso 1659000/5236609 [Task 125]
Progresso 1660000/5236609 [Task 61]
Progresso 1661000/5236609 [Task 130]
Progresso 1662000/5236609 [Task 66]
Progresso 1663000/5236609 [Task 2]
Progresso 1664000/5236609 [Task 71]
Progresso 1665000/5236609 [Task 7]
Progresso 1666000/5236609 [Task 76]
Progresso 1667000/5236609 [Task 12]
Progresso 1668000/5236609 [Task 81]
Progresso 1669000/5236609 [Task 17]
Progresso 1670000/5236609 [Task 86]
Progresso 1671000/5236609 [Task 22]
Progresso 1672000/5236609 [Task 91]
Progresso 1673000/5236609 [Task 27]
Progresso 1674000/5236609 [Task 96]
Progresso 1675000/5236609 [Task 32]
Progresso 1676000/5236609 [Task 101]
Progresso 1677000/5236609 [Task 37]
Progresso 1678000/5236609 [Task 106]
Progresso 1679000/5236609 [Task 42]
Progresso 1680000/5236609 [Task 111]
Progresso 1681000/5236609 [Task 47]
Progresso 1682000/5236609 [Task 116]
Progresso 1683000/5236609 [Task 52]
Progresso 1684000/5236609 [Task 121]
Progresso 1685000/5236609 [Task 57]
Progresso 1686000/5236609 [Task 126]
Progresso 1687000/5236609 [Task 62]
Progresso 1688000/5236609 [Task 131]
Progresso 1689000/5236609 [Task 67]
Progresso 1690000/5236609 [Task 3]
Progresso 1691000/5236609 [Task 72]
Progresso 1692000/5236609 [Task 8]
Progresso 1693000/5236609 [Task 77]
Progresso 1694000/5236609 [Task 13]
Progresso 1695000/5236609 [Task 82]
Progresso 1696000/5236609 [Task 18]
Progresso 1697000/5236609 [Task 87]
Progresso 1698000/5236609 [Task 23]
Progresso 1699000/5236609 [Task 92]
Progresso 1700000/5236609 [Task 28]
Progresso 1701000/5236609 [Task 97]
Progresso 1702000/5236609 [Task 33]
Progresso 1703000/5236609 [Task 102]
Progresso 1704000/5236609 [Task 38]
Progresso 1705000/5236609 [Task 107]
Progresso 1706000/5236609 [Task 43]
Progresso 1707000/5236609 [Task 112]
Progresso 1708000/5236609 [Task 48]
Progresso 1709000/5236609 [Task 117]
Progresso 1710000/5236609 [Task 53]
Progresso 1711000/5236609 [Task 122]
Progresso 1712000/5236609 [Task 58]
Progresso 1713000/5236609 [Task 127]
Progresso 1714000/5236609 [Task 63]
Progresso 1715000/5236609 [Task 132]
Progresso 1716000/5236609 [Task 68]
Progresso 1717000/5236609 [Task 4]
Progresso 1718000/5236609 [Task 73]
Progresso 1719000/5236609 [Task 9]
Progresso 1720000/5236609 [Task 78]
Progresso 1721000/5236609 [Task 14]
Progresso 1722000/5236609 [Task 83]
Progresso 1723000/5236609 [Task 19]
Progresso 1724000/5236609 [Task 88]
Progresso 1725000/5236609 [Task 24]
Progresso 1726000/5236609 [Task 93]
Progresso 1727000/5236609 [Task 29]
Progresso 1728000/5236609 [Task 98]
Progresso 1729000/5236609 [Task 34]
Progresso 1730000/5236609 [Task 103]
Progresso 1731000/5236609 [Task 39]
Progresso 1732000/5236609 [Task 108]
Progresso 1733000/5236609 [Task 44]
Progresso 1734000/5236609 [Task 113]
Progresso 1735000/5236609 [Task 49]
Progresso 1736000/5236609 [Task 118]
Progresso 1737000/5236609 [Task 54]
Progresso 1738000/5236609 [Task 123]
Progresso 1739000/5236609 [Task 59]
Progresso 1740000/5236609 [Task 128]
Progresso 1741000/5236609 [Task 64]
Progresso 1742000/5236609 [Task 133]
Progresso 1743000/5236609 [Task 69]
Progresso 1744000/5236609 [Task 5]
Progresso 1745000/5236609 [Task 74]
Progresso 1746000/5236609 [Task 10]
Progresso 1747000/5236609 [Task 79]
Progresso 1748000/5236609 [Task 15]
Progresso 1749000/5236609 [Task 84]
Progresso 1750000/5236609 [Task 20]
Progresso 1751000/5236609 [Task 89]
Progresso 1752000/5236609 [Task 25]
Progresso 1753000/5236609 [Task 94]
Progresso 1754000/5236609 [Task 30]
Progresso 1755000/5236609 [Task 99]
Progresso 1756000/5236609 [Task 35]
Progresso 1757000/5236609 [Task 104]
Progresso 1758000/5236609 [Task 40]
Progresso 1759000/5236609 [Task 109]
Progresso 1760000/5236609 [Task 45]
Progresso 1761000/5236609 [Task 114]
Progresso 1762000/5236609 [Task 50]
Progresso 1763000/5236609 [Task 119]
Progresso 1764000/5236609 [Task 55]
Progresso 1765000/5236609 [Task 124]
Progresso 1766000/5236609 [Task 60]
Progresso 1767000/5236609 [Task 129]
Progresso 1768000/5236609 [Task 65]
Progresso 1769000/5236609 [Task 134]
Progresso 1770000/5236609 [Task 70]
Progresso 1771000/5236609 [Task 6]
Progresso 1772000/5236609 [Task 75]
Progresso 1773000/5236609 [Task 11]
Progresso 1774000/5236609 [Task 80]
Progresso 1775000/5236609 [Task 16]
Progresso 1776000/5236609 [Task 85]
Progresso 1777000/5236609 [Task 21]
Progresso 1778000/5236609 [Task 90]
Progresso 1779000/5236609 [Task 26]
Progresso 1780000/5236609 [Task 95]
Progresso 1781000/5236609 [Task 31]
Progresso 1782000/5236609 [Task 100]
Progresso 1783000/5236609 [Task 36]
Progresso 1784000/5236609 [Task 105]
Progresso 1785000/5236609 [Task 41]
Progresso 1786000/5236609 [Task 110]
Progresso 1787000/5236609 [Task 46]
Progresso 1788000/5236609 [Task 115]
Progresso 1789000/5236609 [Task 51]
Progresso 1790000/5236609 [Task 120]
Progresso 1791000/5236609 [Task 56]
Progresso 1792000/5236609 [Task 125]
Progresso 1793000/5236609 [Task 61]
Progresso 1794000/5236609 [Task 130]
Progresso 1795000/5236609 [Task 66]
Progresso 1796000/5236609 [Task 2]
Progresso 1797000/5236609 [Task 71]
Progresso 1798000/5236609 [Task 7]
Progresso 1799000/5236609 [Task 76]
Progresso 1800000/5236609 [Task 12]
Progresso 1801000/5236609 [Task 81]
Progresso 1802000/5236609 [Task 17]
Progresso 1803000/5236609 [Task 86]
Progresso 1804000/5236609 [Task 22]
Progresso 1805000/5236609 [Task 91]
Progresso 1806000/5236609 [Task 27]
Progresso 1807000/5236609 [Task 96]
Progresso 1808000/5236609 [Task 32]
Progresso 1809000/5236609 [Task 101]
Progresso 1810000/5236609 [Task 37]
Progresso 1811000/5236609 [Task 106]
Progresso 1812000/5236609 [Task 42]
Progresso 1813000/5236609 [Task 111]
Progresso 1814000/5236609 [Task 47]
Progresso 1815000/5236609 [Task 116]
Progresso 1816000/5236609 [Task 52]
Progresso 1817000/5236609 [Task 121]
Progresso 1818000/5236609 [Task 57]
Progresso 1819000/5236609 [Task 126]
Progresso 1820000/5236609 [Task 62]
Progresso 1821000/5236609 [Task 131]
Progresso 1822000/5236609 [Task 67]
Progresso 1823000/5236609 [Task 3]
Progresso 1824000/5236609 [Task 72]
Progresso 1825000/5236609 [Task 8]
Progresso 1826000/5236609 [Task 77]
Progresso 1827000/5236609 [Task 13]
Progresso 1828000/5236609 [Task 82]
Progresso 1829000/5236609 [Task 18]
Progresso 1830000/5236609 [Task 87]
Progresso 1831000/5236609 [Task 23]
Progresso 1832000/5236609 [Task 92]
Progresso 1833000/5236609 [Task 28]
Progresso 1834000/5236609 [Task 97]
Progresso 1835000/5236609 [Task 33]
Progresso 1836000/5236609 [Task 102]
Progresso 1837000/5236609 [Task 38]
Progresso 1838000/5236609 [Task 107]
Progresso 1839000/5236609 [Task 43]
Progresso 1840000/5236609 [Task 112]
Progresso 1841000/5236609 [Task 48]
Progresso 1842000/5236609 [Task 117]
Progresso 1843000/5236609 [Task 53]
Progresso 1844000/5236609 [Task 122]
Progresso 1845000/5236609 [Task 58]
Progresso 1846000/5236609 [Task 127]
Progresso 1847000/5236609 [Task 63]
Progresso 1848000/5236609 [Task 132]
Progresso 1849000/5236609 [Task 68]
Progresso 1850000/5236609 [Task 4]
Progresso 1851000/5236609 [Task 73]
Progresso 1852000/5236609 [Task 9]
Progresso 1853000/5236609 [Task 78]
Progresso 1854000/5236609 [Task 14]
Progresso 1855000/5236609 [Task 83]
Progresso 1856000/5236609 [Task 19]
Progresso 1857000/5236609 [Task 88]
Progresso 1858000/5236609 [Task 24]
Progresso 1859000/5236609 [Task 93]
Progresso 1860000/5236609 [Task 29]
Progresso 1861000/5236609 [Task 98]
Progresso 1862000/5236609 [Task 34]
Progresso 1863000/5236609 [Task 103]
Progresso 1864000/5236609 [Task 39]
Progresso 1865000/5236609 [Task 108]
Progresso 1866000/5236609 [Task 44]
Progresso 1867000/5236609 [Task 113]
Progresso 1868000/5236609 [Task 49]
Progresso 1869000/5236609 [Task 118]
Progresso 1870000/5236609 [Task 54]
Progresso 1871000/5236609 [Task 123]
Progresso 1872000/5236609 [Task 59]
Progresso 1873000/5236609 [Task 128]
Progresso 1874000/5236609 [Task 64]
Progresso 1875000/5236609 [Task 133]
Progresso 1876000/5236609 [Task 69]
Progresso 1877000/5236609 [Task 5]
Progresso 1878000/5236609 [Task 74]
Progresso 1879000/5236609 [Task 10]
Progresso 1880000/5236609 [Task 79]
Progresso 1881000/5236609 [Task 15]
Progresso 1882000/5236609 [Task 84]
Progresso 1883000/5236609 [Task 20]
Progresso 1884000/5236609 [Task 89]
Progresso 1885000/5236609 [Task 25]
Progresso 1886000/5236609 [Task 94]
Progresso 1887000/5236609 [Task 30]
Progresso 1888000/5236609 [Task 99]
Progresso 1889000/5236609 [Task 35]
Progresso 1890000/5236609 [Task 104]
Progresso 1891000/5236609 [Task 40]
Progresso 1892000/5236609 [Task 109]
Progresso 1893000/5236609 [Task 45]
Progresso 1894000/5236609 [Task 114]
Progresso 1895000/5236609 [Task 50]
Progresso 1896000/5236609 [Task 119]
Progresso 1897000/5236609 [Task 55]
Progresso 1898000/5236609 [Task 124]
Progresso 1899000/5236609 [Task 60]
Progresso 1900000/5236609 [Task 129]
Progresso 1901000/5236609 [Task 65]
Progresso 1902000/5236609 [Task 134]
Progresso 1903000/5236609 [Task 70]
Progresso 1904000/5236609 [Task 6]
Progresso 1905000/5236609 [Task 75]
Progresso 1906000/5236609 [Task 11]
Progresso 1907000/5236609 [Task 80]
Progresso 1908000/5236609 [Task 16]
Progresso 1909000/5236609 [Task 85]
Progresso 1910000/5236609 [Task 21]
Progresso 1911000/5236609 [Task 90]
Progresso 1912000/5236609 [Task 26]
Progresso 1913000/5236609 [Task 95]
Progresso 1914000/5236609 [Task 31]
Progresso 1915000/5236609 [Task 100]
Progresso 1916000/5236609 [Task 36]
Progresso 1917000/5236609 [Task 105]
Progresso 1918000/5236609 [Task 41]
Progresso 1919000/5236609 [Task 110]
Progresso 1920000/5236609 [Task 46]
Progresso 1921000/5236609 [Task 115]
Progresso 1922000/5236609 [Task 51]
Progresso 1923000/5236609 [Task 120]
Progresso 1924000/5236609 [Task 56]
Progresso 1925000/5236609 [Task 125]
Progresso 1926000/5236609 [Task 61]
Progresso 1927000/5236609 [Task 130]
Progresso 1928000/5236609 [Task 66]
Progresso 1929000/5236609 [Task 2]
Progresso 1930000/5236609 [Task 71]
Progresso 1931000/5236609 [Task 7]
